Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Età (product.metafields.shopify.age-group),Funzionalità della borsa/custodia (product.metafields.shopify.bag-case-features),Materiale borsa/custodia (product.metafields.shopify.bag-case-material),Funzionalità di conservazione della borsa/custodia (product.metafields.shopify.bag-case-storage-features),Opzioni di trasporto (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Materiale dello strumento (product.metafields.shopify.instrument-material),Genere di destinazione (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yves-saint-laurent-obo,Yves Saint Laurent Obo,"<p><img></p>
<table width=""100%"">
<tbody>
<tr>
<td></td>
</tr>
</tbody>
</table>",Miranda Store,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Woodwinds > Oboes & English Horns > Oboes,"",novita,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1000/5456/5206/files/borsa_ysl_la_5_a_7.jpg?v=1774096757,1,"",false,,,,,,,,,legno,,,kg,,,active
yves-saint-laurent-obo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/Photoroom_20260320_133743.jpg?v=1774096627,2,"",,,,,,,,,,,,,,,,
yves-saint-laurent-obo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/Photoroom_20260320_134011.jpg?v=1774096630,3,"",,,,,,,,,,,,,,,,
yves-saint-laurent-obo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/Photoroom_20260320_134217.jpg?v=1774096632,4,"",,,,,,,,,,,,,,,,
yves-saint-laurent-obo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/IMG_2669.heic?v=1774096638,5,"",,,,,,,,,,,,,,,,
yves-saint-laurent-obo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/IMG_2670.heic?v=1774096641,6,"",,,,,,,,,,,,,,,,
celine-triomphe-brown,Celine Triomphe brown,"",Miranda Store,Uncategorized,"",novita,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1000/5456/5206/files/Photoroom_20260320_140822.jpg?v=1774096923,1,"",false,,,,,,,,,,,,kg,,,active
celine-triomphe-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/Photoroom_20260320_141955.jpg?v=1774096930,2,"",,,,,,,,,,,,,,,,
celine-triomphe-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/Photoroom_20260320_142105.jpg?v=1774096933,3,"",,,,,,,,,,,,,,,,
celine-triomphe-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/Photoroom_20260320_140957.jpg?v=1774096936,4,"",,,,,,,,,,,,,,,,
celine-triomphe-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/IMG_2679.heic?v=1774096949,5,"",,,,,,,,,,,,,,,,
bottega-veneta-chain-cassette,Bottega Veneta chain cassette,"",Miranda Store,,"",novita,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/E8F9B368-86C5-4FDE-B9DF-17658F1CEF8E.jpg?v=1774098368,1,"",false,,,,,,,,,,,,kg,,,active
bottega-veneta-chain-cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/AE8A544E-2A5C-4582-B436-F1C83F15152F.jpg?v=1774364565,2,"",,,,,,,,,,,,,,,,
bottega-veneta-chain-cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/E059FB09-29D8-4185-A131-183CF28176FE.jpg?v=1774098368,3,"",,,,,,,,,,,,,,,,
bottega-veneta-chain-cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/5D446EF4-7745-4002-ADB3-F57950D5819F.jpg?v=1774098368,4,"",,,,,,,,,,,,,,,,
bottega-veneta-chain-cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/E1B72E10-10E6-4225-97DF-B5ACB4C746D9.jpg?v=1774098368,5,"",,,,,,,,,,,,,,,,
bottega-veneta-chain-cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/4C573D89-2CCE-4AF5-8837-18D10A9F1D0E.jpg?v=1774098370,6,"",,,,,,,,,,,,,,,,
bottega-veneta-chain-cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1000/5456/5206/files/25D8A078-A1A6-459B-BB36-122B81E41898.jpg?v=1774098370,7,"",,,,,,,,,,,,,,,,
